"p_48";1;"Har faget dette skoleåret"
"p_48";2;"Hadde på VG 1"
"p_48";3;"Skal velge neste skoleår"
"p_48";4;"Tilbys ikke på skolen"
"p_48";5;"Har ikke bestemt meg"
"p_49";1;"Har faget dette skoleåret"
"p_49";2;"Hadde på VG 1"
"p_49";3;"Skal velge neste skoleår"
"p_49";4;"Tilbys ikke på skolen"
"p_49";5;"Har ikke bestemt meg"
"p_50";1;"Har faget dette skoleåret"
"p_50";2;"Hadde på VG 1"
"p_50";3;"Skal velge neste skoleår"
"p_50";4;"Tilbys ikke på skolen"
"p_50";5;"Har ikke bestemt meg"
"p_51";1;"Har faget dette skoleåret"
"p_51";2;"Hadde på VG 1"
"p_51";3;"Skal velge neste skoleår"
"p_51";4;"Tilbys ikke på skolen"
"p_51";5;"Har ikke bestemt meg"
"p_52";1;"Har faget dette skoleåret"
"p_52";2;"Hadde på VG 1"
"p_52";3;"Skal velge neste skoleår"
"p_52";4;"Tilbys ikke på skolen"
"p_52";5;"Har ikke bestemt meg"
"p_53";1;"Har faget dette skoleåret"
"p_53";2;"Hadde på VG 1"
"p_53";3;"Skal velge neste skoleår"
"p_53";4;"Tilbys ikke på skolen"
"p_53";5;"Har ikke bestemt meg"
"p_54";1;"Har faget dette skoleåret"
"p_54";2;"Hadde på VG 1"
"p_54";3;"Skal velge neste skoleår"
"p_54";4;"Tilbys ikke på skolen"
"p_54";5;"Har ikke bestemt meg"
"p_55";1;"Har faget dette skoleåret"
"p_55";2;"Hadde på VG 1"
"p_55";3;"Skal velge neste skoleår"
"p_55";4;"Tilbys ikke på skolen"
"p_55";5;"Har ikke bestemt meg"
"p_56";1;"Har faget dette skoleåret"
"p_56";2;"Hadde på VG 1"
"p_56";3;"Skal velge neste skoleår"
"p_56";4;"Tilbys ikke på skolen"
"p_56";5;"Har ikke bestemt meg"
"p_57";1;"Har faget dette skoleåret"
"p_57";2;"Hadde på VG 1"
"p_57";3;"Skal velge neste skoleår"
"p_57";4;"Tilbys ikke på skolen"
"p_57";5;"Har ikke bestemt meg"
"p_58";1;"Har faget dette skoleåret"
"p_58";2;"Hadde på VG 1"
"p_58";3;"Skal velge neste skoleår"
"p_58";4;"Tilbys ikke på skolen"
"p_58";5;"Har ikke bestemt meg"
"pb_1";63;"Matematikk 2P"
"pb_1";5;"Matematikk R1 "
"pb_1";6;"Matematikk R2 "
"pb_1";7;"Matematikk S1 "
"pb_1";8;"Matematikk S2 "
"pb_1";9;"Matematikk X "
"pb_1";10;"Programmering og modellering X "
"pb_1";11;"Biologi 1 "
"pb_1";12;"Biologi 2 "
"pb_1";13;"Fysikk 1 "
"pb_1";14;"Fysikk 2 "
"pb_1";15;"Geofag X "
"pb_1";16;"Geofag 1 "
"pb_1";17;"Geofag 2 "
"pb_1";18;"Informasjonsteknologi 1 "
"pb_1";19;"Informasjonsteknologi 2 "
"pb_1";20;"Kjemi 1 "
"pb_1";21;"Kjemi 2 "
"pb_1";22;"Teknologi og forskningslære X "
"pb_1";23;"Teknologi og forskningslære 1 "
"pb_1";24;"Teknologi og forskningslære 2 "
"pb_1";25;"Antikkens kultur "
"pb_1";26;"Latin 1 eller gresk 1 "
"pb_1";27;"Latin 2 eller gresk 2 "
"pb_1";28;"Internasjonal engelsk "
"pb_1";29;"Samfunnsfaglig engelsk "
"pb_1";30;"Engelskspråklig litteratur og kultur  "
"pb_1";61;"Engelsk 1"
"pb_1";62;"Engelsk 2"
"pb_1";31;"Entreprenørskap og bedriftsutvikling 1 "
"pb_1";32;"Entreprenørskap og bedriftsutvikling 2 "
"pb_1";33;"Fremmedspråk nivå I "
"pb_1";34;"Fremmedspråk nivå II "
"pb_1";35;"Fremmedspråk nivå III "
"pb_1";36;"Historie og filosofi 1 "
"pb_1";37;"Historie og filosofi 2 "
"pb_1";38;"Kommunikasjon og kultur 1 "
"pb_1";39;"Kommunikasjon og kultur 2 "
"pb_1";40;"Kommunikasjon og kultur 3 "
"pb_1";41;"Markedsføring og ledelse 1 "
"pb_1";42;"Markedsføring og ledelse 2 "
"pb_1";43;"Medie- og informasjonskunnskap 1 "
"pb_1";44;"Medie- og informasjonskunnskap 2 "
"pb_1";45;"Økonomistyring "
"pb_1";46;"Økonomi og ledelse "
"pb_1";47;"Sosialkunnskap "
"pb_1";48;"Samfunnsgeografi "
"pb_1";49;"Sosiologi og sosialantropologi "
"pb_1";50;"Politikk og menneskerettigheter "
"pb_1";51;"Psykologi 1 "
"pb_1";52;"Psykologi 2 "
"pb_1";53;"Reiseliv og språk 1 "
"pb_1";54;"Reiseliv og språk 2 "
"pb_1";55;"Rettslære 1 "
"pb_1";56;"Rettslære 2 "
"pb_1";57;"Samfunnsøkonomi 1 "
"pb_1";58;"Samfunnsøkonomi 2 "
"pb_1";59;"Samisk historie og samfunn 1 "
"pb_1";60;"Samisk historie og samfunn 2 "
"i_01";1;"I liten grad"
"i_01";2;"2"
"i_01";3;"3"
"i_01";4;"I stor grad"
"i_02";1;"I liten grad"
"i_02";2;"2"
"i_02";3;"3"
"i_02";4;"I stor grad"
"i_03";1;"I liten grad"
"i_03";2;"2"
"i_03";3;"3"
"i_03";4;"I stor grad"
"i_04";1;"I liten grad"
"i_04";2;"2"
"i_04";3;"3"
"i_04";4;"I stor grad"
"i_05";1;"I liten grad"
"i_05";2;"2"
"i_05";3;"3"
"i_05";4;"I stor grad"
"i_06";1;"I liten grad"
"i_06";2;"2"
"i_06";3;"3"
"i_06";4;"I stor grad"
"i_07";1;"I liten grad"
"i_07";2;"2"
"i_07";3;"3"
"i_07";4;"I stor grad"
"i_08";1;"I liten grad"
"i_08";2;"2"
"i_08";3;"3"
"i_08";4;"I stor grad"
"i_09";1;"I liten grad"
"i_09";2;"2"
"i_09";3;"3"
"i_09";4;"I stor grad"
"i_10";1;"I liten grad"
"i_10";2;"2"
"i_10";3;"3"
"i_10";4;"I stor grad"
"i_11";1;"I liten grad"
"i_11";2;"2"
"i_11";3;"3"
"i_11";4;"I stor grad"
"i_12";1;"I liten grad"
"i_12";2;"2"
"i_12";3;"3"
"i_12";4;"I stor grad"
"i_13";1;"I liten grad"
"i_13";2;"2"
"i_13";3;"3"
"i_13";4;"I stor grad"
"i_14";1;"I liten grad"
"i_14";2;"2"
"i_14";3;"3"
"i_14";4;"I stor grad"
"i_15";1;"I liten grad"
"i_15";2;"2"
"i_15";3;"3"
"i_15";4;"I stor grad"
"i_16";1;"I liten grad"
"i_16";2;"2"
"i_16";3;"3"
"i_16";4;"I stor grad"
"i_17";1;"I liten grad"
"i_17";2;"2"
"i_17";3;"3"
"i_17";4;"I stor grad"
"i_18";1;"I liten grad"
"i_18";2;"2"
"i_18";3;"3"
"i_18";4;"I stor grad"
"fp_01";1;"Ikke viktig"
"fp_01";2;"Litt viktig"
